TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2015,8,16,16,35,10XX MAINLAND ST,Central Business District,491283.8046,5458143.4536
Other Theft,2015,8,16,16,52,10XX MAINLAND ST,Central Business District,491283.8046,5458143.4536
Other Theft,2015,7,6,23,30,10XX MAINLAND ST,Central Business District,491293.8113,5458167.0062
Other Theft,2015,12,23,1,30,10XX MAINLAND ST,Central Business District,491293.8113,5458167.0062
Other Theft,2015,9,25,0,7,10XX MAINLAND ST,Central Business District,491302.106,5458175.6091
Other Theft,2015,8,16,10,0,10XX MAINLAND ST,Central Business District,491304.5413,5458164.9609
Other Theft,2015,7,16,10,30,10XX MAINLAND ST,Central Business District,491314.9096,5458175.7145
Other Theft,2015,12,29,12,0,10XX MAINLAND ST,Central Business District,491343.9409,5458205.8247
Other Theft,2015,8,1,13,46,10XX MALKIN AVE,Strathcona,494001.4798,5457816.8962
Other Theft,2015,8,12,1,0,10XX MARINASIDE CRES,Central Business District,491400.6061,5457863.2867
Other Theft,2015,8,13,4,20,10XX MARINASIDE CRES,Central Business District,491400.6061,5457863.2867
Other Theft,2015,10,27,5,25,10XX MARINASIDE CRES,Central Business District,491400.6061,5457863.2867
Other Theft,2015,5,28,21,0,10XX MARINASIDE CRES,Central Business District,491492.8858,5457850.2418
Other Theft,2015,6,6,12,2,10XX MARINASIDE CRES,Central Business District,491643.3744,5457863.3627
Other Theft,2015,3,21,15,33,10XX MELVILLE ST,Central Business District,491263.6417,5459164.2726
Other Theft,2015,6,8,15,48,10XX NELSON ST,West End,490793.2792,5458756.378
Other Theft,2015,1,30,0,0,10XX NELSON ST,West End,490806.6828,5458743.1289
Other Theft,2015,8,2,9,30,10XX NELSON ST,West End,490806.6828,5458743.1289
Other Theft,2015,10,9,12,54,10XX NELSON ST,West End,490822.7671,5458727.2301
Other Theft,2015,10,29,0,0,10XX NICOLA ST,West End,490126.2728,5459205.3324
Other Theft,2015,11,4,12,0,10XX NICOLA ST,West End,490126.2728,5459205.3324
Other Theft,2015,8,7,12,32,10XX PACIFIC BLVD,Central Business District,491600.4537,5457927.6865
Other Theft,2015,7,6,0,0,10XX PACIFIC ST,West End,490258.8902,5458368.3026
Other Theft,2015,10,25,1,0,10XX PACIFIC ST,West End,490284.2663,5458343.1703
Other Theft,2015,10,24,18,0,10XX PACIFIC ST,West End,490294.4167,5458333.1174
Other Theft,2015,6,26,19,7,10XX PACIFIC ST,West End,490298.1327,5458316.5676
Other Theft,2015,8,31,12,0,10XX PACIFIC ST,West End,490298.1327,5458316.5676
Other Theft,2015,4,24,0,0,10XX PACIFIC ST,West End,490351.6917,5458276.3433
Other Theft,2015,8,2,17,0,10XX PARKER ST,Strathcona,494084.108,5458126.6536
Other Theft,2015,8,19,18,0,10XX RICHARDS ST,Central Business District,491184.2198,5458362.9894
Other Theft,2015,6,10,9,7,10XX RICHARDS ST,Central Business District,491190.6896,5458356.5276
Other Theft,2015,6,17,16,15,10XX ROBSON ST,West End,490924.6317,5459091.0189
Other Theft,2015,8,9,10,0,10XX ROBSON ST,West End,490931.059,5459097.523
Other Theft,2015,8,18,7,46,10XX ROBSON ST,West End,490931.059,5459097.523
Other Theft,2015,1,15,12,40,10XX ROBSON ST,West End,490932.811,5459082.9361
Other Theft,2015,1,15,17,55,10XX ROBSON ST,West End,490932.811,5459082.9361
Other Theft,2015,3,5,20,34,10XX ROBSON ST,West End,490932.811,5459082.9361
Other Theft,2015,3,12,20,51,10XX ROBSON ST,West End,490932.811,5459082.9361
Other Theft,2015,3,21,14,13,10XX ROBSON ST,West End,490932.811,5459082.9361
Other Theft,2015,4,5,17,40,10XX ROBSON ST,West End,490932.811,5459082.9361
Other Theft,2015,5,29,10,10,10XX ROBSON ST,West End,490932.811,5459082.9361
Other Theft,2015,6,8,21,20,10XX ROBSON ST,West End,490932.811,5459082.9361
Other Theft,2015,9,8,18,30,10XX ROBSON ST,West End,490941.9648,5459086.7458
Other Theft,2015,5,22,14,40,10XX ROBSON ST,West End,490963.7765,5459065.1916
Other Theft,2015,12,27,16,11,10XX ROBSON ST,West End,490963.7765,5459065.1916
Other Theft,2015,3,8,20,0,10XX ROBSON ST,West End,490969.2294,5459059.803
Other Theft,2015,3,9,10,36,10XX ROBSON ST,West End,490969.2294,5459059.803
Other Theft,2015,5,17,17,0,10XX ROBSON ST,West End,490969.2294,5459059.803
Other Theft,2015,6,24,15,30,10XX ROBSON ST,West End,490981.8874,5459034.439
Other Theft,2015,7,29,10,0,10XX ROBSON ST,West End,490981.8874,5459034.439
Other Theft,2015,12,15,19,30,10XX ROBSON ST,West End,490981.8874,5459034.439
Other Theft,2015,12,2,18,40,10XX ROBSON ST,West End,490987.3403,5459029.0504
Other Theft,2015,7,8,14,0,10XX ROBSON ST,West End,490999.2205,5459030.1659
