TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2014,2,9,0,45,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2014,2,19,23,59,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2014,2,22,1,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2014,3,22,0,43,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2014,6,8,1,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2014,6,8,2,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2014,7,20,2,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2014,9,8,1,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2014,9,24,5,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2014,4,4,18,1,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2014,6,7,23,0,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2014,7,27,3,0,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2014,6,4,17,30,10XX HAMILTON ST,Central Business District,491200.3411,5458150.1159
Other Theft,2014,12,13,15,0,10XX HAMILTON ST,Central Business District,491242.2813,5458179.7593
Other Theft,2014,10,1,19,30,10XX HAMILTON ST,Central Business District,491256.8649,5458194.6041
Other Theft,2014,11,8,19,0,10XX HAMILTON ST,Central Business District,491256.8649,5458194.6041
Other Theft,2014,7,24,17,45,10XX HAMILTON ST,Central Business District,491265.1984,5458203.0869
Other Theft,2014,3,1,23,0,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2014,10,9,0,30,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2014,4,30,17,46,10XX HARO ST,West End,490922.4519,5458937.9307
Other Theft,2014,9,27,15,13,10XX HARWOOD ST,West End,490396.4145,5458376.3602
Other Theft,2014,10,29,19,45,10XX HARWOOD ST,West End,490409.5994,5458362.936
Other Theft,2014,2,27,7,30,10XX HARWOOD ST,West End,490431.9449,5458353.2344
Other Theft,2014,7,15,16,51,10XX HARWOOD ST,West End,490431.9449,5458353.2344
Other Theft,2014,8,20,19,0,10XX HARWOOD ST,West End,490431.9449,5458353.2344
Other Theft,2014,4,15,9,42,10XX HOMER ST,Central Business District,491158.6362,5458193.1419
Other Theft,2014,7,7,3,35,10XX HOMER ST,Central Business District,491158.6362,5458193.1419
Other Theft,2014,11,16,22,0,10XX HOMER ST,Central Business District,491158.6362,5458193.1419
Other Theft,2014,9,8,18,21,10XX HOMER ST,Central Business District,491167.0929,5458201.7591
Other Theft,2014,2,12,21,20,10XX HOMER ST,Central Business District,491253.957,5458277.2182
Other Theft,2014,10,30,21,22,10XX HOMER ST,Central Business District,491253.957,5458277.2182
Other Theft,2014,11,13,19,55,10XX HOMER ST,Central Business District,491253.957,5458277.2182
Other Theft,2014,2,1,22,32,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2014,5,10,19,56,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2014,5,19,11,45,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2014,8,24,23,49,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2014,9,4,21,23,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2014,9,14,20,30,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2014,12,23,13,20,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2014,6,8,15,12,10XX HOMER ST,Central Business District,491262.4136,5458285.8354
Other Theft,2014,7,20,14,49,10XX HORNBY ST,Central Business District,490819.1517,5458550.5903
Other Theft,2014,7,2,14,26,10XX HORNBY ST,Central Business District,490821.2095,5458565.7773
Other Theft,2014,12,11,3,15,10XX HORNBY ST,Central Business District,490834.1963,5458565.9821
Other Theft,2014,10,8,16,20,10XX HOWE ST,Central Business District,490869.6779,5458475.5759
Other Theft,2014,5,5,17,25,10XX HOWE ST,Central Business District,490880.4545,5458473.5151
Other Theft,2014,1,1,8,3,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2014,11,27,15,0,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2014,1,30,11,0,10XX HOWE ST,Central Business District,490922.8609,5458516.8562
Other Theft,2014,7,19,10,30,10XX HOWE ST,Central Business District,490943.8893,5458551.4228
Other Theft,2014,4,11,12,0,10XX IRONWORK PASS,Fairview,490704.9706,5457253.0549
Other Theft,2014,2,7,21,0,10XX JERVIS ST,West End,490346.5898,5459068.5887
Other Theft,2014,5,24,3,29,10XX JERVIS ST,West End,490346.5898,5459068.5887
Other Theft,2014,1,15,15,30,10XX MAIN ST,Central Business District,492723.7706,5458103.8792
Other Theft,2014,3,8,17,25,10XX MAIN ST,Central Business District,492723.7706,5458103.8792
Other Theft,2014,8,10,23,0,10XX MAIN ST,Strathcona,492743.8604,5458113.595
Other Theft,2014,1,29,13,32,10XX MAIN ST,Strathcona,492743.9563,5458117.2851
Other Theft,2014,3,18,0,0,10XX MAIN ST,Strathcona,492744.1001,5458122.8203
Other Theft,2014,5,23,17,0,10XX MAINLAND ST,Central Business District,491239.896,5458111.0872
Other Theft,2014,7,19,23,30,10XX MAINLAND ST,Central Business District,491239.896,5458111.0872
Other Theft,2014,1,24,18,0,10XX MAINLAND ST,Central Business District,491260.6327,5458132.5945
Other Theft,2014,5,5,14,0,10XX MAINLAND ST,Central Business District,491260.9943,5458119.7955
Other Theft,2014,6,15,0,0,10XX MAINLAND ST,Central Business District,491281.3693,5458154.1018
Other Theft,2014,11,8,19,0,10XX MAINLAND ST,Central Business District,491281.3693,5458154.1018
Other Theft,2014,1,1,2,0,10XX MAINLAND ST,Central Business District,491302.106,5458175.6091
Other Theft,2014,3,30,12,0,10XX MAINLAND ST,Central Business District,491302.106,5458175.6091
