TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,3,17,5,NANAIMO ST / GRANDVIEW HWY N,Kensington-Cedar Cottage,495880.0,5456190.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,8,21,16,28,NANAIMO ST / GRANDVIEW HWY N,Kensington-Cedar Cottage,495880.0,5456190.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,6,18,10,5,NANAIMO ST / GRANDVIEW HWY S,Kensington-Cedar Cottage,495878.0,5456116.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,27,12,1,NANAIMO ST / KINGSWAY AVE,Renfrew-Collingwood,495769.0,5454345.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,1,18,36,NANAIMO ST / ST LAWRENCE ST,Kensington-Cedar Cottage,495874.0,5454520.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,25,7,36,NANTON AVE / GRANVILLE ST,Shaughnessy,489871.0,5454969.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,7,2,9,38,NELSON ST / EXPO BLVD,Central Business District,491563.0,5458020.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,29,5,26,NELSON ST / HAMILTON ST,Central Business District,491307.0,5458252.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,2,11,6,43,NELSON ST / HOMER ST,Central Business District,491264.0,5458294.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,3,1,0,47,NELSON ST / HORNBY ST,Central Business District,490909.0,5458649.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,2,22,13,17,NELSON ST / HOWE ST,Central Business District,490978.0,5458580.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,3,14,6,37,NELSON ST / SEYMOUR ST,Central Business District,491125.0,5458434.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,6,21,15,3,NICOLA ST / W PENDER ST,Central Business District,490618.0,5459706.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,2,27,17,11,NOOTKA ST / E 27TH AVE,Renfrew-Collingwood,496970.0,5454829.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,2,17,15,27,NW MARINE DR / DISCOVERY ST,West Point Grey,485255.0,5457679.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,5,29,19,0,NW MARINE DR / LOCARNO CRES,West Point Grey,485328.0,5457378.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,5,23,15,47,OAK ST / DEVONSHIRE CRES,Shaughnessy,490708.0,5454643.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,10,11,40,OAK ST / PARK DR,Marpole,490530.0,5451304.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,7,5,19,37,OAK ST / SW MARINE DR,Marpole,490497.0,5450214.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,11,23,25,OAK ST / SW MARINE DR,Marpole,490501.0,5450207.0
