TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2013,2,17,0,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2013,3,6,0,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2013,4,4,14,10,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2013,4,12,2,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2013,5,23,3,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2013,10,13,2,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2013,11,13,23,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2013,12,14,3,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2013,4,11,10,29,10XX HAMILTON ST,Central Business District,491231.5917,5458181.9261
Other Theft,2013,1,13,15,10,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2013,4,17,9,0,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2013,11,30,22,0,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2013,12,28,23,0,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2013,12,31,23,30,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2013,9,15,12,0,10XX HARO ST,West End,490907.0265,5458966.1238
Other Theft,2013,11,12,12,13,10XX HARWOOD ST,West End,490370.0447,5458403.2085
Other Theft,2013,9,23,18,48,10XX HARWOOD ST,West End,490409.5994,5458362.936
Other Theft,2013,3,30,16,52,10XX HOMER ST,Central Business District,491167.0929,5458201.7591
Other Theft,2013,6,24,8,59,10XX HOMER ST,Central Business District,491167.0929,5458201.7591
Other Theft,2013,11,22,17,30,10XX HOMER ST,Central Business District,491167.0929,5458201.7591
Other Theft,2013,9,5,15,30,10XX HOMER ST,Central Business District,491196.8749,5458219.0518
Other Theft,2013,4,10,9,30,10XX HOMER ST,Central Business District,491209.5598,5458231.9777
Other Theft,2013,4,11,14,0,10XX HOMER ST,Central Business District,491209.5598,5458231.9777
Other Theft,2013,2,10,23,41,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2013,2,19,10,59,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2013,9,1,22,14,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2013,9,23,22,36,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2013,1,13,16,0,10XX HORNBY ST,Central Business District,490821.3009,5458552.7891
Other Theft,2013,11,1,21,54,10XX HORNBY ST,Central Business District,490900.7311,5458647.1341
Other Theft,2013,1,26,1,29,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2013,6,9,12,1,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2013,6,19,13,23,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2013,9,13,6,14,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2013,12,12,4,26,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2013,12,18,15,13,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2013,1,21,3,44,10XX HOWE ST,Central Business District,490975.869,5458571.0325
Other Theft,2013,7,4,18,0,10XX IRONWORK PASS,Fairview,490704.9706,5457253.0549
Other Theft,2013,5,27,11,50,10XX JERVIS ST,West End,490308.8879,5459032.5455
Other Theft,2013,8,16,3,0,10XX JERVIS ST,West End,490409.621,5459131.1083
Other Theft,2013,8,27,17,23,10XX KEEFER ST,Strathcona,494049.0229,5458484.1046
Other Theft,2013,1,11,15,25,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493974.3723,5455625.6494
Other Theft,2013,2,11,12,33,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493974.3723,5455625.6494
Other Theft,2013,1,21,13,9,10XX LAKEWOOD DR,Grandview-Woodland,495501.5186,5458084.3333
Other Theft,2013,11,18,13,59,10XX MAIN ST,Central Business District,492723.4559,5458090.4759
Other Theft,2013,4,20,22,46,10XX MAIN ST,Central Business District,492723.7706,5458103.8792
Other Theft,2013,9,27,20,0,10XX MAIN ST,Central Business District,492723.7706,5458103.8792
Other Theft,2013,1,3,23,0,10XX MAIN ST,Strathcona,492743.2373,5458089.6091
Other Theft,2013,5,10,23,0,10XX MAIN ST,Strathcona,492743.2373,5458089.6091
Other Theft,2013,10,7,22,54,10XX MAIN ST,Strathcona,492743.2373,5458089.6091
Other Theft,2013,12,25,14,0,10XX MAIN ST,Strathcona,492743.2373,5458089.6091
Other Theft,2013,1,5,18,26,10XX MAINLAND ST,Central Business District,491239.896,5458111.0872
Other Theft,2013,4,20,22,52,10XX MAINLAND ST,Central Business District,491239.896,5458111.0872
Other Theft,2013,10,26,0,40,10XX MAINLAND ST,Central Business District,491239.896,5458111.0872
Other Theft,2013,10,26,12,0,10XX MAINLAND ST,Central Business District,491239.896,5458111.0872
Other Theft,2013,11,28,20,1,10XX MAINLAND ST,Central Business District,491239.896,5458111.0872
Other Theft,2013,5,23,22,0,10XX MAINLAND ST,Central Business District,491256.4853,5458128.293
Other Theft,2013,6,6,23,45,10XX MAINLAND ST,Central Business District,491256.4853,5458128.293
Other Theft,2013,6,8,0,1,10XX MAINLAND ST,Central Business District,491256.4853,5458128.293
Other Theft,2013,8,14,17,21,10XX MAINLAND ST,Central Business District,491256.4853,5458128.293
Other Theft,2013,8,19,22,37,10XX MAINLAND ST,Central Business District,491256.4853,5458128.293
Other Theft,2013,6,24,17,10,10XX MAINLAND ST,Central Business District,491275.51,5458134.8506
Other Theft,2013,2,1,13,13,10XX MAINLAND ST,Central Business District,491281.3693,5458154.1018
Other Theft,2013,3,16,17,30,10XX MAINLAND ST,Central Business District,491281.3693,5458154.1018
Other Theft,2013,2,21,2,0,10XX MAINLAND ST,Central Business District,491297.9586,5458171.3076
Other Theft,2013,3,16,23,0,10XX MAINLAND ST,Central Business District,491302.106,5458175.6091
Other Theft,2013,11,21,23,30,10XX MAINLAND ST,Central Business District,491302.106,5458175.6091
Other Theft,2013,12,12,23,0,10XX MAINLAND ST,Central Business District,491302.106,5458175.6091
Other Theft,2013,3,13,19,0,10XX MAINLAND ST,Central Business District,491323.2043,5458184.3174
Other Theft,2013,11,7,17,55,10XX MAINLAND ST,Central Business District,491323.2043,5458184.3174
Other Theft,2013,2,5,17,30,10XX MAINLAND ST,Central Business District,491326.99,5458201.4179
Other Theft,2013,10,25,19,0,10XX MAINLAND ST,Central Business District,491326.99,5458201.4179
Other Theft,2013,1,20,16,43,10XX MAINLAND ST,Central Business District,491337.7199,5458199.3725
Other Theft,2013,10,20,0,15,10XX MAINLAND ST,Central Business District,491343.9409,5458205.8247
Other Theft,2013,12,9,17,32,10XX MAINLAND ST,Central Business District,491343.9409,5458205.8247
Other Theft,2013,1,29,10,0,10XX MARINASIDE CRES,Central Business District,491372.2256,5457867.8065
Other Theft,2013,1,20,16,46,10XX MARINASIDE CRES,Central Business District,491400.994,5457872.4225
Other Theft,2013,2,16,14,3,10XX MARINASIDE CRES,Central Business District,491428.9821,5457871.2341
Other Theft,2013,7,21,12,50,10XX NELSON ST,West End,490793.2792,5458756.378
Other Theft,2013,9,10,20,55,10XX NELSON ST,West End,490793.2792,5458756.378
Other Theft,2013,11,6,17,54,10XX NELSON ST,West End,490793.2792,5458756.378
Other Theft,2013,6,2,10,0,10XX NELSON ST,West End,490806.6828,5458743.1289
Other Theft,2013,12,21,22,15,10XX NELSON ST,West End,490806.6828,5458743.1289
Other Theft,2013,7,25,22,0,10XX PACIFIC BLVD,Central Business District,491600.4537,5457927.6865
Other Theft,2013,3,10,9,5,10XX PACIFIC ST,West End,490298.1327,5458316.5676
Other Theft,2013,5,27,16,19,10XX PARKER ST,Strathcona,494121.523,5458125.6907
Other Theft,2013,8,24,21,50,10XX RICHARDS ST,Central Business District,491097.481,5458263.2039
Other Theft,2013,10,19,18,39,10XX RICHARDS ST,Central Business District,491126.7883,5458305.4868
Other Theft,2013,3,14,14,6,10XX RICHARDS ST,Central Business District,491180.0977,5458345.9226
Other Theft,2013,12,15,10,9,10XX ROBSON ST,West End,490924.6317,5459091.0189
Other Theft,2013,1,18,14,12,10XX ROBSON ST,West End,490931.059,5459097.523
Other Theft,2013,1,18,21,45,10XX ROBSON ST,West End,490931.059,5459097.523
Other Theft,2013,1,19,18,14,10XX ROBSON ST,West End,490931.059,5459097.523
Other Theft,2013,3,24,18,24,10XX ROBSON ST,West End,490931.059,5459097.523
Other Theft,2013,10,5,19,30,10XX ROBSON ST,West End,490931.059,5459097.523
Other Theft,2013,12,13,8,26,10XX ROBSON ST,West End,490931.059,5459097.523
Other Theft,2013,9,27,15,0,10XX ROBSON ST,West End,490950.1442,5459078.663
Other Theft,2013,7,18,12,53,10XX ROBSON ST,West End,490963.7765,5459065.1916
Other Theft,2013,5,18,13,53,10XX ROBSON ST,West End,490969.2294,5459059.803
Other Theft,2013,5,20,20,58,10XX ROBSON ST,West End,490969.2294,5459059.803
Other Theft,2013,6,15,17,36,10XX ROBSON ST,West End,490969.2294,5459059.803
Other Theft,2013,8,5,18,10,10XX ROBSON ST,West End,490969.2294,5459059.803
Other Theft,2013,8,23,21,0,10XX ROBSON ST,West End,490969.2294,5459059.803
Other Theft,2013,9,7,16,52,10XX ROBSON ST,West End,491003.6991,5459012.8847
Other Theft,2013,5,7,14,33,10XX ROBSON ST,West End,491014.6049,5459002.1076
Other Theft,2013,6,20,18,0,10XX ROBSON ST,West End,491025.5108,5458991.3304
Other Theft,2013,11,29,17,30,10XX ROBSON ST,West End,491025.5108,5458991.3304
Other Theft,2013,10,22,12,0,10XX ROBSON ST,West End,491031.9381,5458997.8345
Other Theft,2013,12,21,10,13,10XX ROBSON ST,West End,491033.6902,5458983.2476
Other Theft,2013,5,17,12,15,10XX ROBSON ST,West End,491045.5704,5458984.3631
Other Theft,2013,5,26,19,3,10XX ROBSON ST,West End,491058.2284,5458958.9991
Other Theft,2013,6,20,7,45,10XX ROBSON ST,West End,491058.2284,5458958.9991
Other Theft,2013,3,29,21,16,10XX ROBSON ST,West End,491064.6557,5458965.5031
Other Theft,2013,4,1,20,57,10XX ROBSON ST,West End,491064.6557,5458965.5031
Other Theft,2013,6,6,19,46,10XX ROBSON ST,West End,491064.6557,5458965.5031
Other Theft,2013,6,10,16,30,10XX ROBSON ST,West End,491064.6557,5458965.5031
Other Theft,2013,10,27,20,34,10XX ROBSON ST,West End,491064.6557,5458965.5031
Other Theft,2013,11,6,20,58,10XX ROBSON ST,West End,491064.6557,5458965.5031
