TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2016,7,28,0,30,10XX GRANVILLE ST,Central Business District,491042.2283,5458491.4939
Other Theft,2016,8,1,0,0,10XX GRANVILLE ST,Central Business District,491042.2283,5458491.4939
Other Theft,2016,1,8,1,0,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2016,3,9,1,27,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2016,3,13,1,37,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2016,7,16,0,1,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2016,7,19,3,0,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2016,8,7,3,33,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2016,9,11,4,17,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2016,12,24,6,58,10XX GRANVILLE ST,Central Business District,491050.796,5458500.2531
Other Theft,2016,12,24,20,22,10XX GRANVILLE ST,Central Business District,491050.796,5458500.2531
Other Theft,2016,5,6,19,15,10XX GREAT NORTHERN WAY,Strathcona,494040.9058,5456959.0548
Other Theft,2016,5,14,13,26,10XX HAMILTON ST,Central Business District,491242.2813,5458179.7593
Other Theft,2016,2,14,0,30,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2016,7,30,1,0,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2016,10,5,13,50,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2016,2,12,13,15,10XX HAMILTON ST,Central Business District,491292.0094,5458243.426
Other Theft,2016,2,7,11,32,10XX HAMILTON ST,Central Business District,491298.2595,5458249.788
Other Theft,2016,5,13,15,15,10XX HARO ST,West End,490899.2273,5458973.8647
Other Theft,2016,12,1,8,13,10XX HARWOOD ST,West End,490371.0019,5458415.2839
Other Theft,2016,11,20,16,22,10XX HARWOOD ST,West End,490417.8234,5458367.6129
Other Theft,2016,10,30,18,44,10XX HOMER ST,Central Business District,491158.6362,5458193.1419
Other Theft,2016,6,22,13,0,10XX HOMER ST,Central Business District,491160.9343,5458182.4286
Other Theft,2016,11,25,15,0,10XX HOMER ST,Central Business District,491165.3508,5458186.9286
Other Theft,2016,1,25,17,30,10XX HOMER ST,Central Business District,491167.0929,5458201.7591
Other Theft,2016,7,8,22,4,10XX HOMER ST,Central Business District,491167.0929,5458201.7591
Other Theft,2016,9,9,0,0,10XX HOMER ST,Central Business District,491198.5704,5458233.8344
Other Theft,2016,2,15,13,0,10XX HOMER ST,Central Business District,491253.957,5458277.2182
Other Theft,2016,2,18,13,0,10XX HOMER ST,Central Business District,491253.957,5458277.2182
Other Theft,2016,1,23,14,42,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2016,2,7,17,35,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2016,2,13,19,25,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2016,3,1,20,9,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2016,3,4,9,47,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2016,3,4,12,28,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2016,3,4,15,22,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2016,3,29,9,8,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
