TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2012,1,21,2,44,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2012,2,4,1,30,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2012,2,13,23,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2012,3,18,1,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2012,4,1,1,30,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2012,5,20,23,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2012,6,1,22,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2012,9,15,22,0,10XX GRANVILLE ST,Central Business District,491046.4189,5458495.7784
Other Theft,2012,2,12,0,1,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2012,7,13,15,0,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2012,8,14,18,0,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2012,11,2,0,0,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2012,5,10,23,25,10XX HAMILTON ST,Central Business District,491200.3411,5458150.1159
Other Theft,2012,9,20,10,46,10XX HAMILTON ST,Central Business District,491258.6755,5458209.495
Other Theft,2012,6,1,20,13,10XX HARO ST,West End,490899.2273,5458973.8647
Other Theft,2012,2,13,21,0,10XX HARWOOD ST,West End,490370.0447,5458403.2085
Other Theft,2012,6,20,0,30,10XX HARWOOD ST,West End,490409.5994,5458362.936
Other Theft,2012,5,28,11,0,10XX HAZELTON ST,Hastings-Sunrise,497260.4466,5458039.1188
Other Theft,2012,5,30,10,45,10XX HAZELTON ST,Hastings-Sunrise,497260.4466,5458039.1188
Other Theft,2012,4,24,3,0,10XX HOMER ST,Central Business District,491158.6362,5458193.1419
Other Theft,2012,6,18,14,6,10XX HOMER ST,Central Business District,491158.6362,5458193.1419
Other Theft,2012,11,1,7,36,10XX HOMER ST,Central Business District,491167.0929,5458201.7591
Other Theft,2012,1,15,14,35,10XX HOMER ST,Central Business District,491192.6466,5458214.7432
Other Theft,2012,11,26,15,10,10XX HOMER ST,Central Business District,491198.989,5458221.2061
Other Theft,2012,5,11,17,55,10XX HOMER ST,Central Business District,491209.5598,5458231.9777
Other Theft,2012,7,29,14,30,10XX HOMER ST,Central Business District,491247.6146,5458270.7553
Other Theft,2012,5,17,13,54,10XX HOMER ST,Central Business District,491253.957,5458277.2182
Other Theft,2012,10,31,13,14,10XX HOMER ST,Central Business District,491255.8873,5458292.2401
Other Theft,2012,1,2,22,34,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2012,1,24,20,3,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2012,3,24,22,59,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2012,4,2,21,0,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2012,4,24,12,8,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2012,5,27,15,45,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2012,5,29,15,38,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2012,11,4,9,17,10XX HOMER ST,Central Business District,491256.0712,5458279.3725
Other Theft,2012,10,16,17,51,10XX HORNBY ST,Central Business District,490821.2095,5458565.7773
Other Theft,2012,8,5,18,0,10XX HORNBY ST,Central Business District,490834.1963,5458565.9821
Other Theft,2012,8,3,16,0,10XX HOWE ST,Central Business District,490880.4545,5458473.5151
Other Theft,2012,8,3,17,49,10XX HOWE ST,Central Business District,490891.0561,5458484.3504
Other Theft,2012,4,24,0,18,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2012,6,11,8,43,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2012,7,23,5,0,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2012,12,21,0,0,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2012,12,21,12,45,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2012,12,29,14,38,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Other Theft,2012,5,17,14,0,10XX HOWE ST,Central Business District,490943.8893,5458551.4228
Other Theft,2012,9,16,13,18,10XX HOWE ST,Central Business District,490965.2674,5458560.1973
Other Theft,2012,3,20,11,0,10XX HOWE ST,Central Business District,490975.869,5458571.0325
Other Theft,2012,11,6,12,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493974.3723,5455625.6494
Other Theft,2012,9,21,21,38,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494036.9169,5455580.6261
Other Theft,2012,12,17,15,54,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494036.9169,5455580.6261
Other Theft,2012,3,18,12,0,10XX LILLOOET ST,Hastings-Sunrise,497165.9839,5458010.2051
Other Theft,2012,11,19,11,0,10XX MAIN ST,Central Business District,492723.4559,5458090.4759
Other Theft,2012,1,4,11,21,10XX MAIN ST,Strathcona,492743.2373,5458089.6091
Other Theft,2012,4,26,9,0,10XX MAIN ST,Strathcona,492743.2373,5458089.6091
Other Theft,2012,6,15,21,0,10XX MAIN ST,Strathcona,492743.2373,5458089.6091
Other Theft,2012,7,28,1,0,10XX MAIN ST,Strathcona,492743.2373,5458089.6091
Other Theft,2012,7,7,15,0,10XX MAIN ST,Strathcona,492744.148,5458124.6654
Other Theft,2012,10,12,20,15,10XX MAINLAND ST,Central Business District,491239.896,5458111.0872
Other Theft,2012,12,18,12,0,10XX MAINLAND ST,Central Business District,491256.4853,5458128.293
Other Theft,2012,1,5,13,0,10XX MAINLAND ST,Central Business District,491260.9943,5458119.7955
Other Theft,2012,10,18,16,15,10XX MAINLAND ST,Central Business District,491275.51,5458134.8506
Other Theft,2012,6,4,14,41,10XX MAINLAND ST,Central Business District,491281.731,5458141.3028
Other Theft,2012,10,5,16,6,10XX MAINLAND ST,Central Business District,491281.731,5458141.3028
Other Theft,2012,2,6,1,22,10XX MAINLAND ST,Central Business District,491293.8113,5458167.0062
Other Theft,2012,7,22,20,55,10XX MAINLAND ST,Central Business District,491297.9586,5458171.3076
Other Theft,2012,1,10,0,0,10XX MAINLAND ST,Central Business District,491323.2043,5458184.3174
Other Theft,2012,10,18,19,10,10XX MAINLAND ST,Central Business District,491323.2043,5458184.3174
Other Theft,2012,5,2,22,0,10XX MAINLAND ST,Central Business District,491326.99,5458201.4179
Other Theft,2012,9,4,17,0,10XX MAINLAND ST,Central Business District,491326.99,5458201.4179
Other Theft,2012,2,12,16,25,10XX MAINLAND ST,Central Business District,491329.4253,5458190.7696
Other Theft,2012,1,31,13,29,10XX MALKIN AVE,Strathcona,494001.4798,5457816.8962
Other Theft,2012,3,9,11,5,10XX MARINASIDE CRES,Central Business District,491372.2256,5457867.8065
Other Theft,2012,9,22,17,30,10XX MARINASIDE CRES,Central Business District,491407.991,5457872.1254
Other Theft,2012,6,15,20,0,10XX MARINASIDE CRES,Central Business District,491584.5861,5457828.586
Other Theft,2012,6,2,17,40,10XX MELVILLE ST,Central Business District,491263.6417,5459164.2726
Other Theft,2012,1,1,0,0,10XX NELSON ST,West End,490793.2792,5458756.378
Other Theft,2012,11,4,9,30,10XX NELSON ST,West End,490793.2792,5458756.378
Other Theft,2012,8,14,12,0,10XX NOOTKA ST,Hastings-Sunrise,496986.0914,5458047.4795
Other Theft,2012,8,24,8,36,10XX PARKER ST,Strathcona,494084.108,5458126.6536
Other Theft,2012,2,18,9,30,10XX PENTICTON ST,Hastings-Sunrise,496220.6899,5458080.833
Other Theft,2012,7,21,22,4,10XX PIPELINE RD,Stanley Park,490187.1759,5461282.5095
Other Theft,2012,8,8,7,10,10XX QUEBEC ST,Central Business District,492582.3774,5458114.9636
Other Theft,2012,9,8,15,0,10XX QUEBEC ST,Central Business District,492585.5518,5458066.6436
Other Theft,2012,4,4,11,0,10XX RICHARDS ST,Central Business District,491080.4194,5458259.0608
Other Theft,2012,5,15,21,11,10XX RICHARDS ST,Central Business District,491127.0236,5458305.7226
Other Theft,2012,4,2,5,31,10XX RICHARDS ST,Central Business District,491180.0977,5458345.9226
Other Theft,2012,12,18,9,0,10XX RICHARDS ST,Central Business District,491180.0977,5458345.9226
Other Theft,2012,7,30,19,15,10XX RICHARDS ST,Central Business District,491184.2198,5458362.9894
Other Theft,2012,4,20,20,6,10XX ROBSON ST,West End,490924.6317,5459091.0189
Other Theft,2012,9,23,14,47,10XX ROBSON ST,West End,490924.6317,5459091.0189
Other Theft,2012,5,23,8,30,10XX ROBSON ST,West End,490931.059,5459097.523
Other Theft,2012,7,15,14,0,10XX ROBSON ST,West End,490931.059,5459097.523
Other Theft,2012,8,11,23,5,10XX ROBSON ST,West End,490931.059,5459097.523
Other Theft,2012,11,16,20,15,10XX ROBSON ST,West End,490931.059,5459097.523
